filename,category,model,which MR is violated,manual check result,False Negative Reason
ILSVRC2012_val_00000009.JPEG,mousetrap,mobilenet,MR-1,TP,
ILSVRC2012_val_00000042.JPEG,rain barrel,mobilenet,MR-1,TP,
ILSVRC2012_val_00000053.JPEG,"switch, electric switch, electrical switch",resnet101,MR-1,TP,
ILSVRC2012_val_00000148.JPEG,oil filter,mobilenet,MR-1,TP,
ILSVRC2012_val_00000235.JPEG,coral reef,mobilenet,MR-1,FP,Existence of Multiple Target Objects
ILSVRC2012_val_00000235.JPEG,coral reef,nasnet_large,MR-1,FP,Existence of Multiple Target Objects
ILSVRC2012_val_00000394.JPEG,geyser,resnet101,MR-1,TP,
ILSVRC2012_val_00000430.JPEG,mousetrap,nasnet_large,MR-1,TP,
ILSVRC2012_val_00000454.JPEG,"puck, hockey puck",nasnet_large,MR-1,TP,
ILSVRC2012_val_00000454.JPEG,"puck, hockey puck",mobilenet,MR-1,TP,
ILSVRC2012_val_00000467.JPEG,electric guitar,nasnet_large,MR-1,TP,
ILSVRC2012_val_00000494.JPEG,"balance beam, beam",mobilenet,MR-1,TP,
ILSVRC2012_val_00000521.JPEG,"ocarina, sweet potato",nasnet_large,MR-1,TP,
ILSVRC2012_val_00000529.JPEG,scuba diver,nasnet_large,MR-1,TP,
ILSVRC2012_val_00000663.JPEG,"bobsled, bobsleigh, bob",resnet101,MR-1,TP,
ILSVRC2012_val_00000682.JPEG,"puck, hockey puck",mobilenet,MR-1,TP,
ILSVRC2012_val_00000823.JPEG,cuirass,nasnet_large,MR-1,TP,
ILSVRC2012_val_00000884.JPEG,"bloodhound, sleuthhound",nasnet_large,MR-1,FP,Existence of Multiple Target Objects
ILSVRC2012_val_00000961.JPEG,altar,resnet101,MR-1,TP,
ILSVRC2012_val_00001006.JPEG,"swimming trunks, bathing trunks",mobilenet,MR-1,FP,Existence of Multiple Target Objects
ILSVRC2012_val_00001014.JPEG,cabbage butterfly,mobilenet,MR-1,TP,
ILSVRC2012_val_00001018.JPEG,fountain,mobilenet,MR-1,FP,Existence of Multiple Target Objects
ILSVRC2012_val_00001074.JPEG,"Bouvier des Flandres, Bouviers des Flandres",mobilenet,MR-1,FP,Incomplete Removal of the Target Object
